Report file
Iteration 1
Training file ./10cv_FS/10cv_new_PLGA_FS_to_7_in_no1.txt
Test file ./10cv_FS/t-10cv_new_PLGA_FS_to_7_in_no1.txt
RMSE = 15.97631001551914
R2 = 0.6926024272909075
	predict	Q_perc	Fold_no
0	13.751085245524637	2.294	1
1	22.24860838382422	5.046	1
2	30.58917927920386	10.55	1
3	32.115927245389074	11.009	1
4	39.77725140742525	12.844	1
5	39.8529415396127	17.431	1
6	2.412079915412804	0.0	1
7	45.31524582021787	63.404	1
8	48.881282385447165	78.723	1
9	44.950854068164816	75.745	1
10	29.85175661557271	53.91	1
11	32.13435409963979	58.27	1
12	41.018132397447815	63.875	1
13	39.68680312392219	66.367	1
14	41.67880048370837	68.235	1
15	42.67520136992364	69.481	1
16	46.378420396250775	70.415	1
17	47.47486722703009	71.349	1
18	52.27946624393492	72.595	1
19	53.17181685800581	73.529	1
20	59.28004034283488	74.464	1
21	59.93701823475688	76.021	1
22	63.755060185221126	77.578	1
23	68.52612696262925	78.201	1
24	68.74425820681184	79.135	1
25	69.5422969018194	80.069	1
26	74.04383349466055	81.003	1
27	74.18293391867458	81.315	1
28	74.21117192461072	81.315	1
29	75.87615439250051	81.938	1
30	76.97595924838363	81.938	1
31	77.29517889722167	82.249	1
32	77.29517889722167	82.561	1
33	78.5625389064747	82.872	1
34	79.69674850209533	82.872	1
35	79.69674850209533	83.183	1
36	79.69674850209533	83.183	1
37	81.18459377019583	82.872	1
38	82.10701285443186	83.183	1
39	41.57425082382663	13.187	1
40	57.27372078877791	17.582	1
41	57.65464705509051	29.121	1
42	67.68311837223276	32.418	1
43	67.26030310896142	46.154	1
44	68.49969465472653	59.89	1
45	72.91965721362187	70.879	1
46	74.79918328423203	81.868	1
47	73.84585652996005	90.659	1
48	74.70312406990827	96.154	1
49	73.02441474173368	100.549	1
50	-2.774642670984278	0.0	1
51	22.965537449819134	18.187	1
52	30.03249418922617	16.0	1
53	32.155569063973715	23.341	1
54	32.53635366029023	27.213	1
55	40.1371265449646	26.753	1
56	47.15840590233832	47.507	1
57	55.81841647765516	60.898	1
58	65.1623568353328	63.458	1
59	64.92512464756994	63.864	1
60	68.562508525801	63.838	1
61	70.42726250599056	62.917	1
62	73.1641159202057	63.295	1
63	2.5757167027416727	0.0	1
64	47.04363798583775	44.628	1
65	61.24934524569228	64.05	1
66	66.558570623319	66.942	1
67	70.83777514642254	63.223	1
68	70.03154256550745	66.116	1
69	72.63844849059508	67.355	1
70	81.61061866844223	81.405	1
71	79.41185569280908	97.934	1
72	13.951207126964915	12.113	1
